zona,estado,year,month,fecha,temp_promedio,dias_calor,humedad_relativa,IRT,nivel_riesgo
Norte,Chihuahua,2018,1,1/1/2018,10.6,0,44.7,20.7,Bajo
Norte,Coahuila de Zaragoza,2018,1,1/1/2018,10.6,0,44.7,20.7,Bajo
Norte,Tamaulipas,2018,1,1/1/2018,10.6,0,44.7,20.7,Bajo
Norte,Nuevo León,2018,1,1/1/2018,10.6,0,44.7,20.7,Bajo
Norte,Chihuahua,2018,2,2/1/2018,13.6,0,45.4,24.16,Bajo
Norte,Coahuila de Zaragoza,2018,2,2/1/2018,13.6,0,45.4,24.16,Bajo
Norte,Tamaulipas,2018,2,2/1/2018,13.6,0,45.4,24.16,Bajo
Norte,Nuevo León,2018,2,2/1/2018,13.6,0,45.4,24.16,Bajo
Norte,Chihuahua,2018,3,3/1/2018,18.3,0,37.5,27.88,Bajo
Norte,Coahuila de Zaragoza,2018,3,3/1/2018,18.3,0,37.5,27.88,Bajo
Norte,Tamaulipas,2018,3,3/1/2018,18.3,0,37.5,27.88,Bajo
Norte,Nuevo León,2018,3,3/1/2018,18.3,0,37.5,27.88,Bajo
Norte,Chihuahua,2018,4,4/1/2018,23.4,2,29.4,33.85,Bajo
Norte,Coahuila de Zaragoza,2018,4,4/1/2018,23.4,2,29.4,33.85,Bajo
Norte,Tamaulipas,2018,4,4/1/2018,23.4,2,29.4,33.85,Bajo
Norte,Nuevo León,2018,4,4/1/2018,23.4,2,29.4,33.85,Bajo
Norte,Chihuahua,2018,5,5/1/2018,29.3,7,22.7,43.88,Medio
Norte,Coahuila de Zaragoza,2018,5,5/1/2018,29.3,7,22.7,43.88,Medio
Norte,Tamaulipas,2018,5,5/1/2018,29.3,7,22.7,43.88,Medio
Norte,Nuevo León,2018,5,5/1/2018,29.3,7,22.7,43.88,Medio
Norte,Chihuahua,2018,6,6/1/2018,32.9,14,26.6,55.46,Medio
Norte,Coahuila de Zaragoza,2018,6,6/1/2018,32.9,14,26.6,55.46,Medio
Norte,Tamaulipas,2018,6,6/1/2018,32.9,14,26.6,55.46,Medio
Norte,Nuevo León,2018,6,6/1/2018,32.9,14,26.6,55.46,Medio
Norte,Chihuahua,2018,7,7/1/2018,36.4,21,39.7,68.67,Alto
Norte,Coahuila de Zaragoza,2018,7,7/1/2018,36.4,21,39.7,68.67,Alto
Norte,Tamaulipas,2018,7,7/1/2018,36.4,21,39.7,68.67,Alto
Norte,Nuevo León,2018,7,7/1/2018,36.4,21,39.7,68.67,Alto
Norte,Chihuahua,2018,8,8/1/2018,35.2,18,36.7,63.81,Alto
Norte,Coahuila de Zaragoza,2018,8,8/1/2018,35.2,18,36.7,63.81,Alto
Norte,Tamaulipas,2018,8,8/1/2018,35.2,18,36.7,63.81,Alto
Norte,Nuevo León,2018,8,8/1/2018,35.2,18,36.7,63.81,Alto
Norte,Chihuahua,2018,9,9/1/2018,31.2,6,37.9,48.02,Medio
Norte,Coahuila de Zaragoza,2018,9,9/1/2018,31.2,6,37.9,48.02,Medio
Norte,Tamaulipas,2018,9,9/1/2018,31.2,6,37.9,48.02,Medio
Norte,Nuevo León,2018,9,9/1/2018,31.2,6,37.9,48.02,Medio
Norte,Chihuahua,2018,10,10/1/2018,24.1,3,33.7,36.48,Medio
Norte,Coahuila de Zaragoza,2018,10,10/1/2018,24.1,3,33.7,36.48,Medio
Norte,Tamaulipas,2018,10,10/1/2018,24.1,3,33.7,36.48,Medio
Norte,Nuevo León,2018,10,10/1/2018,24.1,3,33.7,36.48,Medio
Norte,Chihuahua,2018,11,11/1/2018,15.6,0,41.9,25.77,Bajo
Norte,Coahuila de Zaragoza,2018,11,11/1/2018,15.6,0,41.9,25.77,Bajo
Norte,Tamaulipas,2018,11,11/1/2018,15.6,0,41.9,25.77,Bajo
Norte,Nuevo León,2018,11,11/1/2018,15.6,0,41.9,25.77,Bajo
Norte,Chihuahua,2018,12,12/1/2018,10.3,1,46.3,21.64,Bajo
Norte,Coahuila de Zaragoza,2018,12,12/1/2018,10.3,1,46.3,21.64,Bajo
Norte,Tamaulipas,2018,12,12/1/2018,10.3,1,46.3,21.64,Bajo
Norte,Nuevo León,2018,12,12/1/2018,10.3,1,46.3,21.64,Bajo
Norte,Chihuahua,2019,1,1/1/2019,11,1,42.2,21.68,Bajo
Norte,Coahuila de Zaragoza,2019,1,1/1/2019,11,1,42.2,21.68,Bajo
Norte,Tamaulipas,2019,1,1/1/2019,11,1,42.2,21.68,Bajo
Norte,Nuevo León,2019,1,1/1/2019,11,1,42.2,21.68,Bajo
Norte,Chihuahua,2019,2,2/1/2019,12.5,0,42,22.24,Bajo
Norte,Coahuila de Zaragoza,2019,2,2/1/2019,12.5,0,42,22.24,Bajo
Norte,Tamaulipas,2019,2,2/1/2019,12.5,0,42,22.24,Bajo
Norte,Nuevo León,2019,2,2/1/2019,12.5,0,42,22.24,Bajo
Norte,Chihuahua,2019,3,3/1/2019,19.1,0,31.9,27.6,Bajo
Norte,Coahuila de Zaragoza,2019,3,3/1/2019,19.1,0,31.9,27.6,Bajo
Norte,Tamaulipas,2019,3,3/1/2019,19.1,0,31.9,27.6,Bajo
Norte,Nuevo León,2019,3,3/1/2019,19.1,0,31.9,27.6,Bajo
Norte,Chihuahua,2019,4,4/1/2019,22.4,2,27.1,32.3,Bajo
Norte,Coahuila de Zaragoza,2019,4,4/1/2019,22.4,2,27.1,32.3,Bajo
Norte,Tamaulipas,2019,4,4/1/2019,22.4,2,27.1,32.3,Bajo
Norte,Nuevo León,2019,4,4/1/2019,22.4,2,27.1,32.3,Bajo
Norte,Chihuahua,2019,5,5/1/2019,30.4,6,27.2,44.98,Medio
Norte,Coahuila de Zaragoza,2019,5,5/1/2019,30.4,6,27.2,44.98,Medio
Norte,Tamaulipas,2019,5,5/1/2019,30.4,6,27.2,44.98,Medio
Norte,Nuevo León,2019,5,5/1/2019,30.4,6,27.2,44.98,Medio
Norte,Chihuahua,2019,6,6/1/2019,35,16,27.2,59.78,Medio
Norte,Coahuila de Zaragoza,2019,6,6/1/2019,35,16,27.2,59.78,Medio
