Flow ID,Flow,Month ID,Month,Trade Value,Time
1,Importaciones,200601,2006-01,200088037,1.13877E+12
1,Importaciones,200602,2006-02,172040226,1.14119E+12
1,Importaciones,200603,2006-03,202428623,1.14387E+12
1,Importaciones,200604,2006-04,159416710,1.14646E+12
1,Importaciones,200605,2006-05,212817849,1.14914E+12
1,Importaciones,200606,2006-06,209085954,1.15173E+12
1,Importaciones,200607,2006-07,198583291,1.15441E+12
1,Importaciones,200608,2006-08,224128481,1.15709E+12
1,Importaciones,200609,2006-09,216714347,1.15968E+12
1,Importaciones,200610,2006-10,231298242,1.16236E+12
1,Importaciones,200611,2006-11,234446132,1.16495E+12
1,Importaciones,200612,2006-12,227799247,1.16763E+12
1,Importaciones,200701,2007-01,212581267,1.17031E+12
1,Importaciones,200702,2007-02,204217847,1.17273E+12
1,Importaciones,200703,2007-03,210748467,1.17541E+12
1,Importaciones,200704,2007-04,211835509,1.178E+12
1,Importaciones,200705,2007-05,227104811,1.18067E+12
1,Importaciones,200706,2007-06,221839472,1.18327E+12
1,Importaciones,200707,2007-07,234422391,1.18594E+12
1,Importaciones,200708,2007-08,248293825,1.18862E+12
1,Importaciones,200709,2007-09,210985540,1.19121E+12
1,Importaciones,200711,2007-11,233759777,1.19649E+12
1,Importaciones,200712,2007-12,220617366,1.19917E+12
1,Importaciones,200801,2008-01,245094342,1.20185E+12
1,Importaciones,200802,2008-02,234298816,1.20435E+12
1,Importaciones,200803,2008-03,233543555,1.20703E+12
1,Importaciones,200804,2008-04,255475783,1.20962E+12
1,Importaciones,200805,2008-05,259766334,1.2123E+12
1,Importaciones,200806,2008-06,276386500,1.21489E+12
1,Importaciones,200807,2008-07,317640816,1.21757E+12
1,Importaciones,200808,2008-08,301623281,1.22025E+12
1,Importaciones,200809,2008-09,268032995,1.22284E+12
1,Importaciones,200810,2008-10,237405751,1.22552E+12
1,Importaciones,200811,2008-11,199986605,1.22811E+12
1,Importaciones,200812,2008-12,239229847,1.23079E+12
1,Importaciones,200901,2009-01,230019385,1.23347E+12
1,Importaciones,200902,2009-02,218171501,1.23589E+12
1,Importaciones,200903,2009-03,210916137,1.23857E+12
1,Importaciones,200904,2009-04,209917650,1.24115E+12
1,Importaciones,200905,2009-05,189867023,1.24383E+12
1,Importaciones,200906,2009-06,213958754,1.24642E+12
1,Importaciones,200907,2009-07,216787359,1.2491E+12
1,Importaciones,200908,2009-08,218305218,1.25178E+12
1,Importaciones,200909,2009-09,230758368,1.25437E+12
1,Importaciones,200910,2009-10,218249888,1.25706E+12
1,Importaciones,200911,2009-11,217955841,1.25965E+12
1,Importaciones,200912,2009-12,266121701,1.26233E+12
1,Importaciones,201001,2010-01,237519919,1.265E+12
1,Importaciones,201002,2010-02,229946740,1.26742E+12
1,Importaciones,201003,2010-03,257206853,1.2701E+12
1,Importaciones,201004,2010-04,244468871,1.27269E+12
1,Importaciones,201005,2010-05,251349670,1.27537E+12
1,Importaciones,201006,2010-06,248933447,1.27796E+12
1,Importaciones,201007,2010-07,262600501,1.28064E+12
1,Importaciones,201008,2010-08,271898443,1.28332E+12
1,Importaciones,201009,2010-09,247390731,1.28591E+12
1,Importaciones,201010,2010-10,265700584,1.28859E+12
1,Importaciones,201011,2010-11,303336090,1.29118E+12
1,Importaciones,201012,2010-12,311104768,1.29386E+12
1,Importaciones,201101,2011-01,265122420,1.29654E+12
1,Importaciones,201102,2011-02,254002035,1.29896E+12
1,Importaciones,201103,2011-03,279286862,1.30164E+12
1,Importaciones,201104,2011-04,235293309,1.30423E+12
1,Importaciones,201105,2011-05,281395166,1.3069E+12
1,Importaciones,201106,2011-06,271159050,1.3095E+12
1,Importaciones,201107,2011-07,265442705,1.31217E+12
1,Importaciones,201108,2011-08,307052131,1.31485E+12
1,Importaciones,201109,2011-09,282003306,1.31745E+12
1,Importaciones,201110,2011-10,280983558,1.32013E+12
1,Importaciones,201111,2011-11,290870987,1.32272E+12
1,Importaciones,201112,2011-12,313375612,1.3254E+12
1,Importaciones,201201,2012-01,302619422,1.32808E+12
1,Importaciones,201202,2012-02,289801664,1.33058E+12
1,Importaciones,201203,2012-03,288647847,1.33326E+12
1,Importaciones,201204,2012-04,259902422,1.33585E+12
1,Importaciones,201205,2012-05,270214263,1.33853E+12
1,Importaciones,201206,2012-06,244368083,1.34112E+12
1,Importaciones,201207,2012-07,273709354,1.3438E+12
1,Importaciones,201208,2012-08,299272375,1.34648E+12
1,Importaciones,201209,2012-09,268553493,1.34907E+12
1,Importaciones,201210,2012-10,323994295,1.35175E+12
1,Importaciones,201211,2012-11,314487087,1.35434E+12
1,Importaciones,201212,2012-12,315075167,1.35702E+12
1,Importaciones,201301,2013-01,327113801,1.3597E+12
1,Importaciones,201302,2013-02,276080284,1.36212E+12
1,Importaciones,201303,2013-03,253141732,1.3648E+12
1,Importaciones,201304,2013-04,330193580,1.36738E+12
1,Importaciones,201305,2013-05,330113278,1.37006E+12
1,Importaciones,201306,2013-06,295366165,1.37265E+12
1,Importaciones,201307,2013-07,345858333,1.37533E+12
1,Importaciones,201308,2013-08,329384781,1.37801E+12
1,Importaciones,201309,2013-09,317304234,1.3806E+12
1,Importaciones,201310,2013-10,333723278,1.38329E+12
1,Importaciones,201311,2013-11,338458850,1.38588E+12
1,Importaciones,201312,2013-12,365269245,1.38856E+12
1,Importaciones,201401,2014-01,337483049,1.39123E+12
1,Importaciones,201402,2014-02,325326049,1.39365E+12
