State ID,State,Trade Value,Share
1,Aguascalientes,42463483,2.155641235
2,Baja California,102661286,5.211557924
5,Coahuila de Zaragoza,10794881,0.54799769
8,Chihuahua,53870467,2.734712082
9,Ciudad de México,43338079,2.200039741
11,Guanajuato,9762186,0.495573354
14,Jalisco,53433862,2.712548009
15,Estado de México,55237172,2.804092299
19,Nuevo León,6021226,0.305665059
25,Sinaloa,1221489859,62.00842988
26,Sonora,300797324,15.26985233
30,Veracruz de Ignacio de la Llave,70007273,3.553890396
